"movie", "categ", "winner", "name", "roleOrSong", "note", "year", "oscarNum"
"Anthony Adverse", "ART DIRECTION", "False", "Anton Grot", "", "", "1936", "(9th)"
"Dodsworth", "ART DIRECTION", "True", "Richard Day", "", "", "1936", "(9th)"
"The Great Ziegfeld", "ART DIRECTION", "False", "Cedric Gibbons; Eddie Imazu; Edwin B. Willis", "", "", "1936", "(9th)"
"Lloyds of London", "ART DIRECTION", "False", "William S. Darling", "", "", "1936", "(9th)"
"The Magnificent Brute", "ART DIRECTION", "False", "Albert S. D'Agostino; Jack Otterson", "", "", "1936", "(9th)"
"Romeo and Juliet", "ART DIRECTION", "False", "Cedric Gibbons; Fredric Hope; Edwin B. Willis", "", "", "1936", "(9th)"
"Winterset", "ART DIRECTION", "False", "Perry Ferguson", "", "", "1936", "(9th)"
"Anthony Adverse", "ASSISTANT DIRECTOR", "False", "William Cannon", "", "", "1936", "(9th)"
"The Charge of the Light Brigade", "ASSISTANT DIRECTOR", "True", "Jack Sullivan", "", "", "1936", "(9th)"
"The Garden of Allah", "ASSISTANT DIRECTOR", "False", "Eric G. Stacey", "", "", "1936", "(9th)"
"The Last of the Mohicans", "ASSISTANT DIRECTOR", "False", "Clem Beauchamp", "", "", "1936", "(9th)"
"San Francisco", "ASSISTANT DIRECTOR", "False", "Joseph Newman", "", "", "1936", "(9th)"
"Anthony Adverse", "CINEMATOGRAPHY", "True", "Gaetano Gaudio", "", "", "1936", "(9th)"
"The General Died at Dawn", "CINEMATOGRAPHY", "False", "Victor Milner", "", "", "1936", "(9th)"
"The Gorgeous Hussy", "CINEMATOGRAPHY", "False", "George Folsey", "", "", "1936", "(9th)"
"Gold Diggers of 1937", "DANCE DIRECTION", "False", "Busby Berkeley", "Love and War", "", "1936", "(9th)"
"Cain and Mabel", "DANCE DIRECTION", "False", "Bobby Connolly", "1000 Love Songs", "", "1936", "(9th)"
"The Great Ziegfeld", "DANCE DIRECTION", "True", "Seymour Felix", "A Pretty Girl Is Like a Melody", "", "1936", "(9th)"
"Born To Dance", "DANCE DIRECTION", "False", "Dave Gould", "Swingin' the Jinx", "", "1936", "(9th)"
"One in a Million", "DANCE DIRECTION", "False", "Jack Haskell", "Skating Ensemble", "", "1936", "(9th)"
"Dancing Pirate", "DANCE DIRECTION", "False", "Russell Lewis", "The Finale", "", "1936", "(9th)"
"Swing Time", "DANCE DIRECTION", "False", "Hermes Pan", "Bojangles of Harlem", "", "1936", "(9th)"
"Dodsworth", "DIRECTING", "False", "William Wyler", "", "", "1936", "(9th)"
"The Great Ziegfeld", "DIRECTING", "False", "Robert Z. Leonard", "", "", "1936", "(9th)"
"Mr. Deeds Goes to Town", "DIRECTING", "True", "Frank Capra", "", "", "1936", "(9th)"
"My Man Godfrey", "DIRECTING", "False", "Gregory La Cava", "", "", "1936", "(9th)"
"San Francisco", "DIRECTING", "False", "W. S. Van Dyke", "", "", "1936", "(9th)"
"Anthony Adverse", "FILM EDITING", "True", "Ralph Dawson", "", "", "1936", "(9th)"
"Come and Get It", "FILM EDITING", "False", "Edward Curtiss", "", "", "1936", "(9th)"
"The Great Ziegfeld", "FILM EDITING", "False", "William S. Gray", "", "", "1936", "(9th)"
"Lloyds of London", "FILM EDITING", "False", "Barbara McLean", "", "", "1936", "(9th)"
"A Tale of Two Cities", "FILM EDITING", "False", "Conrad A. Nervig", "", "", "1936", "(9th)"
"Theodora Goes Wild", "FILM EDITING", "False", "Otto Meyer", "", "", "1936", "(9th)"
"Anthony Adverse", "MUSIC (Scoring)", "True", "Warner Bros. Studio Music Department; Leo Forbstein; head of department (Score by Erich Wolfgang Korngold)", "", "", "1936", "(9th)"
"The Charge of the Light Brigade", "MUSIC (Scoring)", "False", "Warner Bros. Studio Music Department; Leo Forbstein; head of department (Score by Max Steiner)", "", "", "1936", "(9th)"
"The Garden of Allah", "MUSIC (Scoring)", "False", "Selznick International Pictures Music Department; Max Steiner; head of department (Score by Max Steiner)", "", "", "1936", "(9th)"
"The General Died at Dawn", "MUSIC (Scoring)", "False", "Paramount Studio Music Department; Boris Morros; head of department (Score by Werner Janssen)", "", "", "1936", "(9th)"
"Winterset", "MUSIC (Scoring)", "False", "RKO Radio Studio Music Department; Nathaniel Shilkret; head of department (Score by Nathaniel Shilkret)", "", "", "1936", "(9th)"
"Suzy", "MUSIC (Song)", "False", "Music by Walter Donaldson; Lyrics by Harold Adamson", "Did I Remember", "", "1936", "(9th)"
"Born To Dance", "MUSIC (Song)", "False", "Music and Lyrics by Cole Porter", "I've Got You Under My Skin", "", "1936", "(9th)"
"Trail of the Lonesome Pine", "MUSIC (Song)", "False", "Music by Louis Alter; Lyrics by Sidney Mitchell", "A Melody from the Sky", "", "1936", "(9th)"
"Heaven", "MUSIC (Song)", "False", "Music by Arthur Johnston; Lyrics by Johnny Burke", "Pennies from Heaven from Pennies", "", "1936", "(9th)"
"Swing Time", "MUSIC (Song)", "True", "Music by Jerome Kern; Lyrics by Dorothy Fields", "The Way You Look Tonight", "", "1936", "(9th)"
"Sing; Baby; Sing", "MUSIC (Song)", "False", "Music by Richard A. Whiting; Lyrics by Walter Bullock", "When Did You Leave Heaven", "", "1936", "(9th)"
"Anthony Adverse", "OUTSTANDING PRODUCTION", "False", "Warner Bros.", "", "", "1936", "(9th)"
"Dodsworth", "OUTSTANDING PRODUCTION", "False", "Samuel Goldwyn Productions", "", "", "1936", "(9th)"
"The Great Ziegfeld", "OUTSTANDING PRODUCTION", "True", "Metro-Goldwyn-Mayer", "", "", "1936", "(9th)"
"Libeled Lady", "OUTSTANDING PRODUCTION", "False", "Metro-Goldwyn-Mayer", "", "", "1936", "(9th)"
"Mr. Deeds Goes to Town", "OUTSTANDING PRODUCTION", "False", "Columbia", "", "", "1936", "(9th)"
"Romeo and Juliet", "OUTSTANDING PRODUCTION", "False", "Metro-Goldwyn-Mayer", "", "", "1936", "(9th)"
"San Francisco", "OUTSTANDING PRODUCTION", "False", "Metro-Goldwyn-Mayer", "", "", "1936", "(9th)"
"The Story of Louis Pasteur", "OUTSTANDING PRODUCTION", "False", "Cosmopolitan", "", "", "1936", "(9th)"
"A Tale of Two Cities", "OUTSTANDING PRODUCTION", "False", "Metro-Goldwyn-Mayer", "", "", "1936", "(9th)"
"Three Smart Girls", "OUTSTANDING PRODUCTION", "False", "Universal", "", "", "1936", "(9th)"
"The Country Cousin", "SHORT SUBJECT (Cartoon)", "True", "Walt Disney; Producer", "", "", "1936", "(9th)"
"Old Mill Pond", "SHORT SUBJECT (Cartoon)", "False", "Harman-Ising", "", "", "1936", "(9th)"
"Sinbad the Sailor", "SHORT SUBJECT (Cartoon)", "False", "Paramount", "", "", "1936", "(9th)"
"Give Me Liberty", "SHORT SUBJECT (Color)", "True", "Warner Bros.", "", "", "1936", "(9th)"
"La Fiesta de Santa Barbara", "SHORT SUBJECT (Color)", "False", "Lewis Lewyn; Producer", "", "", "1936", "(9th)"
"Popular Science J-6-2", "SHORT SUBJECT (Color)", "False", "Paramount", "", "", "1936", "(9th)"
"Bored of Education", "SHORT SUBJECT (One-reel)", "True", "Hal Roach; Producer", "", "", "1936", "(9th)"
"Moscow Moods", "SHORT SUBJECT (One-reel)", "False", "Paramount", "", "", "1936", "(9th)"
"Wanted; a Master", "SHORT SUBJECT (One-reel)", "False", "Pete Smith; Producer", "", "", "1936", "(9th)"
"Double or Nothing", "SHORT SUBJECT (Two-reel)", "False", "Warner Bros.", "", "", "1936", "(9th)"
"Dummy Ache", "SHORT SUBJECT (Two-reel)", "False", "RKO Radio", "", "", "1936", "(9th)"
"The Public Pays", "SHORT SUBJECT (Two-reel)", "True", "Metro-Goldwyn-Mayer", "", "", "1936", "(9th)"
"Banjo on My Knee", "SOUND RECORDING", "False", "20th Century-Fox Studio Sound Department; E. H. Hansen; Sound Director", "", "", "1936", "(9th)"
"The Charge of the Light Brigade", "SOUND RECORDING", "False", "Warner Bros. Studio Sound Department; Nathan Levinson; Sound Director", "", "", "1936", "(9th)"
"Dodsworth", "SOUND RECORDING", "False", "United Artists Studio Sound Department; Thomas T. Moulton; Sound Director", "", "", "1936", "(9th)"
"General Spanky", "SOUND RECORDING", "False", "Hal Roach Studio Sound Department; Elmer A. Raguse; Sound Director", "", "", "1936", "(9th)"
"Mr. Deeds Goes to Town", "SOUND RECORDING", "False", "Columbia Studio Sound Department; John Livadary; Sound Director", "", "", "1936", "(9th)"
"San Francisco", "SOUND RECORDING", "True", "Metro-Goldwyn-Mayer Studio Sound Department; Douglas Shearer; Sound Director", "", "", "1936", "(9th)"
"The Texas Rangers", "SOUND RECORDING", "False", "Paramount Studio Sound Department; Franklin B. Hansen; Sound Director", "", "", "1936", "(9th)"
"That Girl from Paris", "SOUND RECORDING", "False", "RKO Radio Studio Sound Department; J. O. Aalberg; Sound Director", "", "", "1936", "(9th)"
"Three Smart Girls", "SOUND RECORDING", "False", "Universal Studio Sound Department; Homer G. Tasker; Sound Director", "", "", "1936", "(9th)"
"Fury", "WRITING (Original Story)", "False", "Norman Krasna", "", "", "1936", "(9th)"
"The Great Ziegfeld", "WRITING (Original Story)", "False", "William Anthony McGuire", "", "", "1936", "(9th)"
"San Francisco", "WRITING (Original Story)", "False", "Robert Hopkins", "", "", "1936", "(9th)"
"The Story of Louis Pasteur", "WRITING (Original Story)", "True", "Pierre Collings; Sheridan Gibney", "", "", "1936", "(9th)"
"Three Smart Girls", "WRITING (Original Story)", "False", "Adele Comandini", "", "", "1936", "(9th)"
"After the Thin Man", "WRITING (Screenplay)", "False", "Frances Goodrich; Albert Hackett", "", "", "1936", "(9th)"
"Dodsworth", "WRITING (Screenplay)", "False", "Sidney Howard", "", "", "1936", "(9th)"
"Mr. Deeds Goes to Town", "WRITING (Screenplay)", "False", "Robert Riskin", "", "", "1936", "(9th)"
"My Man Godfrey", "WRITING (Screenplay)", "False", "Eric Hatch; Morris Ryskind", "", "", "1936", "(9th)"
"The Story of Louis Pasteur", "WRITING (Screenplay)", "True", "Pierre Collings; Sheridan Gibney", "", "", "1936", "(9th)"
"Conquest", "ACTOR", "False", "Charles Boyer", "Napoleon Bonaparte", "", "1937", "(10th)"
"A Star Is Born", "ACTOR", "False", "Fredric March", "Norman Maine (Alfred Hinkel)", "", "1937", "(10th)"
"Night Must Fall", "ACTOR", "False", "Robert Montgomery", "Danny", "", "1937", "(10th)"
"The Life of Emile Zola", "ACTOR", "False", "Paul Muni", "Emile Zola", "", "1937", "(10th)"
"Captains Courageous", "ACTOR", "True", "Spencer Tracy", "Manuel", "", "1937", "(10th)"
"The Awful Truth", "ACTOR IN A SUPPORTING ROLE", "False", "Ralph Bellamy", "Daniel Leeson", "", "1937", "(10th)"
"The Hurricane", "ACTOR IN A SUPPORTING ROLE", "False", "Thomas Mitchell", "Doctor Kersaint", "", "1937", "(10th)"
"The Life of Emile Zola", "ACTOR IN A SUPPORTING ROLE", "True", "Joseph Schildkraut", "Captain Alfred Dreyfus", "", "1937", "(10th)"
"Lost Horizon", "ACTOR IN A SUPPORTING ROLE", "False", "H. B. Warner", "Chang", "", "1937", "(10th)"
"Topper", "ACTOR IN A SUPPORTING ROLE", "False", "Roland Young", "Cosmo Topper", "", "1937", "(10th)"
"The Awful Truth", "ACTRESS", "False", "Irene Dunne", "Lucy Warriner", "", "1937", "(10th)"
"Camille", "ACTRESS", "False", "Greta Garbo", "Marguerite Gautier (Camille)", "", "1937", "(10th)"
"A Star Is Born", "ACTRESS", "False", "Janet Gaynor", "Esther Blodgett/Vicki Lester", "", "1937", "(10th)"
"The Good Earth", "ACTRESS", "True", "Luise Rainer", "O-lan", "", "1937", "(10th)"
"Stella Dallas", "ACTRESS", "False", "Barbara Stanwyck", "Stella Dallas", "", "1937", "(10th)"
"In Old Chicago", "ACTRESS IN A SUPPORTING ROLE", "True", "Alice Brady", "Molly O'Leary", "", "1937", "(10th)"
"Stage Door", "ACTRESS IN A SUPPORTING ROLE", "False", "Andrea Leeds", "Kaye Hamilton", "", "1937", "(10th)"
"Stella Dallas", "ACTRESS IN A SUPPORTING ROLE", "False", "Anne Shirley", "Laurel Dallas", "", "1937", "(10th)"
"Dead End", "ACTRESS IN A SUPPORTING ROLE", "False", "Claire Trevor", "Francie", "", "1937", "(10th)"
"Night Must Fall", "ACTRESS IN A SUPPORTING ROLE", "False", "Dame May Whitty", "Mrs. Bramson", "", "1937", "(10th)"
"Conquest", "ART DIRECTION", "False", "Cedric Gibbons; William Horning", "", "", "1937", "(10th)"
"A Damsel in Distress", "ART DIRECTION", "False", "Carroll Clark", "", "", "1937", "(10th)"
"Dead End", "ART DIRECTION", "False", "Richard Day", "", "", "1937", "(10th)"
"Every Day's a Holiday", "ART DIRECTION", "False", "Wiard Ihnen", "", "", "1937", "(10th)"
"The Life of Emile Zola", "ART DIRECTION", "False", "Anton Grot", "", "", "1937", "(10th)"
"Lost Horizon", "ART DIRECTION", "True", "Stephen Goosson", "", "", "1937", "(10th)"
"Manhattan Merry-Go-Round", "ART DIRECTION", "False", "John Victor Mackay", "", "", "1937", "(10th)"
"The Prisoner of Zenda", "ART DIRECTION", "False", "Lyle Wheeler", "", "", "1937", "(10th)"
"Souls at Sea", "ART DIRECTION", "False", "Hans Dreier; Roland Anderson", "", "", "1937", "(10th)"
"Walter Wanger's Vogues of 1938", "ART DIRECTION", "False", "Alexander Toluboff", "", "", "1937", "(10th)"
"Wee Willie Winkie", "ART DIRECTION", "False", "William S. Darling; David Hall", "", "", "1937", "(10th)"
"You're a Sweetheart", "ART DIRECTION", "False", "Jack Otterson", "", "", "1937", "(10th)"
"In Old Chicago", "ASSISTANT DIRECTOR", "True", "Robert Webb", "", "", "1937", "(10th)"
"The Life of Emile Zola", "ASSISTANT DIRECTOR", "False", "Russ Saunders", "", "", "1937", "(10th)"
"Lost Horizon", "ASSISTANT DIRECTOR", "False", "C. C. Coleman; Jr.", "", "", "1937", "(10th)"
"Souls at Sea", "ASSISTANT DIRECTOR", "False", "Hal Walker", "", "", "1937", "(10th)"
"A Star Is Born", "ASSISTANT DIRECTOR", "False", "Eric Stacey", "", "", "1937", "(10th)"
"Dead End", "CINEMATOGRAPHY", "False", "Gregg Toland", "", "", "1937", "(10th)"
"The Good Earth", "CINEMATOGRAPHY", "True", "Karl Freund", "", "", "1937", "(10th)"
"Wings over Honolulu", "CINEMATOGRAPHY", "False", "Joseph Valentine", "", "", "1937", "(10th)"
"Varsity Show", "DANCE DIRECTION", "False", "Busby Berkeley", "The Finale", "", "1937", "(10th)"
"Ready; Willing and Able", "DANCE DIRECTION", "False", "Bobby Connolly", "Too Marvelous for Words", "", "1937", "(10th)"
"A Day at the Races", "DANCE DIRECTION", "False", "Dave Gould", "All God's Children Got Rhythm", "", "1937", "(10th)"
"Ali Baba Goes to Town", "DANCE DIRECTION", "False", "Sammy Lee", "Swing Is Here to Stay", "", "1937", "(10th)"
"Thin Ice", "DANCE DIRECTION", "False", "Harry Losee", "Prince Igor Suite", "", "1937", "(10th)"
"A Damsel in Distress", "DANCE DIRECTION", "True", "Hermes Pan", "Fun House", "", "1937", "(10th)"
"Waikiki Wedding", "DANCE DIRECTION", "False", "LeRoy Prinz", "Luau", "", "1937", "(10th)"
"The Awful Truth", "DIRECTING", "True", "Leo McCarey", "", "", "1937", "(10th)"
"The Good Earth", "DIRECTING", "False", "Sidney Franklin", "", "", "1937", "(10th)"
"The Life of Emile Zola", "DIRECTING", "False", "William Dieterle", "", "", "1937", "(10th)"
"Stage Door", "DIRECTING", "False", "Gregory La Cava", "", "", "1937", "(10th)"
"A Star Is Born", "DIRECTING", "False", "William Wellman", "", "", "1937", "(10th)"
"The Awful Truth", "FILM EDITING", "False", "Al Clark", "", "", "1937", "(10th)"
"Captains Courageous", "FILM EDITING", "False", "Elmo Veron", "", "", "1937", "(10th)"
"The Good Earth", "FILM EDITING", "False", "Basil Wrangell", "", "", "1937", "(10th)"
"Lost Horizon", "FILM EDITING", "True", "Gene Havlick; Gene Milford", "", "", "1937", "(10th)"
"One Hundred Men and a Girl", "FILM EDITING", "False", "Bernard W. Burton", "", "", "1937", "(10th)"
"The Hurricane", "MUSIC (Scoring)", "False", "Samuel Goldwyn Studio Music Department; Alfred Newman; head of department (Score by Alfred Newman)", "", "", "1937", "(10th)"
"In Old Chicago", "MUSIC (Scoring)", "False", "20th Century-Fox Studio Music Department; Louis Silvers; head of department (no composer credit)", "", "", "1937", "(10th)"
"The Life of Emile Zola", "MUSIC (Scoring)", "False", "Warner Bros. Studio Music Department; Leo Forbstein; head of department (Score by Max Steiner)", "", "", "1937", "(10th)"
"Lost Horizon", "MUSIC (Scoring)", "False", "Columbia Studio Music Department; Morris Stoloff; head of department (Score by Dimitri Tiomkin)", "", "", "1937", "(10th)"
"Make a Wish", "MUSIC (Scoring)", "False", "Principal Productions; Dr. Hugo Riesenfeld; musical director (Score by Dr. Hugo Riesenfeld)", "", "", "1937", "(10th)"
"Maytime", "MUSIC (Scoring)", "False", "Metro-Goldwyn-Mayer Studio Music Department; Nat W. Finston; head of department (Score by Herbert Stothart)", "", "", "1937", "(10th)"
"One Hundred Men and a Girl", "MUSIC (Scoring)", "True", "Universal Studio Music Department; Charles Previn; head of department (no composer credit)", "", "", "1937", "(10th)"
"Portia on Trial", "MUSIC (Scoring)", "False", "Republic Studio Music Department; Alberto Colombo; head of department (Score by Alberto Colombo)", "", "", "1937", "(10th)"
"The Prisoner of Zenda", "MUSIC (Scoring)", "False", "Selznick International Pictures Music Department; Alfred Newman; musical director (Score by Alfred Newman)", "", "", "1937", "(10th)"
"Quality Street", "MUSIC (Scoring)", "False", "RKO Radio Studio Music Department; Roy Webb; musical director (Score by Roy Webb)", "", "", "1937", "(10th)"
"Snow White and the Seven Dwarfs", "MUSIC (Scoring)", "False", "Walt Disney Studio Music Department; Leigh Harline; head of department (Score by Frank Churchill; Leigh Harline and Paul J. Smith)", "", "", "1937", "(10th)"
"Something to Sing About", "MUSIC (Scoring)", "False", "Grand National Studio Music Department; C. Bakaleinikoff; musical director (Score by Victor Schertzinger)", "", "", "1937", "(10th)"
"Souls at Sea", "MUSIC (Scoring)", "False", "Paramount Studio Music Department; Boris Morros; head of department (Score by W. Franke Harling and Milan Roder)", "", "", "1937", "(10th)"
"Way Out West", "MUSIC (Scoring)", "False", "Hal Roach Studio Music Department; Marvin Hatley; head of department (Score by Marvin Hatley)", "", "", "1937", "(10th)"
"Mr. Dodd Takes the Air", "MUSIC (Song)", "False", "Music by Harry Warren; Lyrics by Al Dubin", "Remember Me", "", "1937", "(10th)"
"Waikiki Wedding", "MUSIC (Song)", "True", "Music and Lyrics by Harry Owens", "Sweet Leilani", "", "1937", "(10th)"
"Walter Wanger's Vogues of 1938", "MUSIC (Song)", "False", "Music by Sammy Fain; Lyrics by Lew Brown", "That Old Feeling", "", "1937", "(10th)"
"Shall We Dance", "MUSIC (Song)", "False", "Music by George Gershwin; Lyrics by Ira Gershwin", "They Can't Take That Away From Me", "", "1937", "(10th)"
"Artists and Models", "MUSIC (Song)", "False", "Music by Frederick Hollander; Lyrics by Leo Robin", "Whispers in the Dark", "", "1937", "(10th)"
"The Awful Truth", "OUTSTANDING PRODUCTION", "False", "Columbia", "", "", "1937", "(10th)"
"Captains Courageous", "OUTSTANDING PRODUCTION", "False", "Metro-Goldwyn-Mayer", "", "", "1937", "(10th)"
"Dead End", "OUTSTANDING PRODUCTION", "False", "Samuel Goldwyn Productions", "", "", "1937", "(10th)"
"The Good Earth", "OUTSTANDING PRODUCTION", "False", "Metro-Goldwyn-Mayer", "", "", "1937", "(10th)"
"In Old Chicago", "OUTSTANDING PRODUCTION", "False", "20th Century-Fox", "", "", "1937", "(10th)"
"The Life of Emile Zola", "OUTSTANDING PRODUCTION", "True", "Warner Bros.", "", "", "1937", "(10th)"
"Lost Horizon", "OUTSTANDING PRODUCTION", "False", "Columbia", "", "", "1937", "(10th)"
"One Hundred Men and a Girl", "OUTSTANDING PRODUCTION", "False", "Universal", "", "", "1937", "(10th)"
"Stage Door", "OUTSTANDING PRODUCTION", "False", "RKO Radio", "", "", "1937", "(10th)"
"A Star Is Born", "OUTSTANDING PRODUCTION", "False", "Selznick International Pictures", "", "", "1937", "(10th)"
"Educated Fish", "SHORT SUBJECT (Cartoon)", "False", "Paramount", "", "", "1937", "(10th)"
"The Little Match Girl", "SHORT SUBJECT (Cartoon)", "False", "Charles Mintz; Producer", "", "", "1937", "(10th)"
"The Old Mill", "SHORT SUBJECT (Cartoon)", "True", "Walt Disney; Producer", "", "", "1937", "(10th)"
"The Man without a Country", "SHORT SUBJECT (Color)", "False", "Warner Bros.", "", "", "1937", "(10th)"
"Penny Wisdom", "SHORT SUBJECT (Color)", "True", "Pete Smith; Producer", "", "", "1937", "(10th)"
"Popular Science J-7-1", "SHORT SUBJECT (Color)", "False", "Paramount", "", "", "1937", "(10th)"
"A Night at the Movies", "SHORT SUBJECT (One-reel)", "False", "Metro-Goldwyn-Mayer", "", "", "1937", "(10th)"
"The Private Life of the Gannets", "SHORT SUBJECT (One-reel)", "True", "Skibo Productions", "", "", "1937", "(10th)"
"Romance of Radium", "SHORT SUBJECT (One-reel)", "False", "Pete Smith; Producer", "", "", "1937", "(10th)"
"Deep South", "SHORT SUBJECT (Two-reel)", "False", "RKO Radio", "", "", "1937", "(10th)"
"Should Wives Work?", "SHORT SUBJECT (Two-reel)", "False", "RKO Radio", "", "", "1937", "(10th)"
"Torture Money", "SHORT SUBJECT (Two-reel)", "True", "Metro-Goldwyn-Mayer", "", "", "1937", "(10th)"
"The Girl Said No", "SOUND RECORDING", "False", "Grand National Studio Sound Department; A. E. Kaye; Sound Director", "", "", "1937", "(10th)"
"Hitting a New High", "SOUND RECORDING", "False", "RKO Radio Studio Sound Department; John Aalberg; Sound Director", "", "", "1937", "(10th)"
"The Hurricane", "SOUND RECORDING", "True", "United Artists Studio Sound Department; Thomas T. Moulton; Sound Director", "", "", "1937", "(10th)"
"In Old Chicago", "SOUND RECORDING", "False", "20th Century-Fox Studio Sound Department; E. H. Hansen; Sound Director", "", "", "1937", "(10th)"
"The Life of Emile Zola", "SOUND RECORDING", "False", "Warner Bros. Studio Sound Department; Nathan Levinson; Sound Director", "", "", "1937", "(10th)"
"Lost Horizon", "SOUND RECORDING", "False", "Columbia Studio Sound Department; John Livadary; Sound Director", "", "", "1937", "(10th)"
"Maytime", "SOUND RECORDING", "False", "Metro-Goldwyn-Mayer Studio Sound Department; Douglas Shearer; Sound Director", "", "", "1937", "(10th)"
"One Hundred Men and a Girl", "SOUND RECORDING", "False", "Universal Studio Sound Department; Homer G. Tasker; Sound Director", "", "", "1937", "(10th)"
"Topper", "SOUND RECORDING", "False", "Hal Roach Studio Sound Department; Elmer A. Raguse; Sound Director", "", "", "1937", "(10th)"
"Wells Fargo", "SOUND RECORDING", "False", "Paramount Studio Sound Department; Loren L. Ryder; Sound Director", "", "", "1937", "(10th)"
"Black Legion", "WRITING (Original Story)", "False", "Robert Lord", "", "", "1937", "(10th)"
"In Old Chicago", "WRITING (Original Story)", "False", "Niven Busch", "", "", "1937", "(10th)"
"The Life of Emile Zola", "WRITING (Original Story)", "False", "Heinz Herald; Geza Herczeg", "", "", "1937", "(10th)"
"One Hundred Men and a Girl", "WRITING (Original Story)", "False", "Hans Kraly", "", "", "1937", "(10th)"
"A Star Is Born", "WRITING (Original Story)", "True", "William A. Wellman; Robert Carson", "", "", "1937", "(10th)"
"The Awful Truth", "WRITING (Screenplay)", "False", "Vina Delmar", "", "", "1937", "(10th)"
"Captains Courageous", "WRITING (Screenplay)", "False", "John Lee Mahin; Marc Connelly; Dale Van Every", "", "", "1937", "(10th)"
"The Life of Emile Zola", "WRITING (Screenplay)", "True", "Norman Reilly Raine; Heinz Herald; Geza Herczeg", "", "", "1937", "(10th)"
"Stage Door", "WRITING (Screenplay)", "False", "Morris Ryskind; Anthony Veiller", "", "", "1937", "(10th)"
"A Star Is Born", "WRITING (Screenplay)", "False", "Dorothy Parker; Alan Campbell; Robert Carson", "", "", "1937", "(10th)"
"Algiers", "ACTOR", "False", "Charles Boyer", "Pepe Le Moko", "", "1938", "(11th)"
"Angels with Dirty Faces", "ACTOR", "False", "James Cagney", "Rocky Sullivan", "", "1938", "(11th)"
"The Citadel", "ACTOR", "False", "Robert Donat", "Andrew Mason", "", "1938", "(11th)"
"Pygmalion", "ACTOR", "False", "Leslie Howard", "Professor Henry Higgins", "", "1938", "(11th)"
"Boys Town", "ACTOR", "True", "Spencer Tracy", "Father Flanagan", "", "1938", "(11th)"
"Kentucky", "ACTOR IN A SUPPORTING ROLE", "True", "Walter Brennan", "Peter Goodwin", "", "1938", "(11th)"
"Four Daughters", "ACTOR IN A SUPPORTING ROLE", "False", "John Garfield", "Mickey Borden", "", "1938", "(11th)"
"Algiers", "ACTOR IN A SUPPORTING ROLE", "False", "Gene Lockhart", "Regis", "", "1938", "(11th)"
"Marie Antoinette", "ACTOR IN A SUPPORTING ROLE", "False", "Robert Morley", "King Louis XVI", "", "1938", "(11th)"
"If I Were King", "ACTOR IN A SUPPORTING ROLE", "False", "Basil Rathbone", "Louis XI", "", "1938", "(11th)"
"White Banners", "ACTRESS", "False", "Fay Bainter", "Hannah", "", "1938", "(11th)"
"Jezebel", "ACTRESS", "True", "Bette Davis", "Julie Morrison", "", "1938", "(11th)"
"Pygmalion", "ACTRESS", "False", "Wendy Hiller", "Eliza Doolittle", "", "1938", "(11th)"
"Marie Antoinette", "ACTRESS", "False", "Norma Shearer", "Marie Antoinette", "", "1938", "(11th)"
"Three Comrades", "ACTRESS", "False", "Margaret Sullavan", "Pat Hollmann", "", "1938", "(11th)"
"Jezebel", "ACTRESS IN A SUPPORTING ROLE", "True", "Fay Bainter", "Aunt Belle Massey", "", "1938", "(11th)"
"Of Human Hearts", "ACTRESS IN A SUPPORTING ROLE", "False", "Beulah Bondi", "Mary Wilkins", "", "1938", "(11th)"
"Merrily We Live", "ACTRESS IN A SUPPORTING ROLE", "False", "Billie Burke", "Mrs. Emily Kilbourne", "", "1938", "(11th)"
"You Can't Take It with You", "ACTRESS IN A SUPPORTING ROLE", "False", "Spring Byington", "Penny Sycamore", "", "1938", "(11th)"
"The Great Waltz", "ACTRESS IN A SUPPORTING ROLE", "False", "Miliza Korjus", "Carla Donner", "", "1938", "(11th)"
"The Adventures of Robin Hood", "ART DIRECTION", "True", "Carl J. Weyl", "", "", "1938", "(11th)"
"The Adventures of Tom Sawyer", "ART DIRECTION", "False", "Lyle Wheeler", "", "", "1938", "(11th)"
"Alexander's Ragtime Band", "ART DIRECTION", "False", "Bernard Herzbrun; Boris Leven", "", "", "1938", "(11th)"
"Algiers", "ART DIRECTION", "False", "Alexander Toluboff", "", "", "1938", "(11th)"
"Carefree", "ART DIRECTION", "False", "Van Nest Polglase", "", "", "1938", "(11th)"
"The Goldwyn Follies", "ART DIRECTION", "False", "Richard Day", "", "", "1938", "(11th)"
"Holiday", "ART DIRECTION", "False", "Stephen Goosson; Lionel Banks", "", "", "1938", "(11th)"
"If I Were King", "ART DIRECTION", "False", "Hans Dreier; John Goodman", "", "", "1938", "(11th)"
"Mad about Music", "ART DIRECTION", "False", "Jack Otterson", "", "", "1938", "(11th)"
"Marie Antoinette", "ART DIRECTION", "False", "Cedric Gibbons", "", "", "1938", "(11th)"
"Merrily We Live", "ART DIRECTION", "False", "Charles D. Hall", "", "", "1938", "(11th)"
"Algiers", "CINEMATOGRAPHY", "False", "James Wong Howe", "", "", "1938", "(11th)"
"Army Girl", "CINEMATOGRAPHY", "False", "Ernest Miller; Harry Wild", "", "", "1938", "(11th)"
"The Buccaneer", "CINEMATOGRAPHY", "False", "Victor Milner", "", "", "1938", "(11th)"
